Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 25  166  180  184  137  146   68  101   83   72  -26 -123 -191
 30  118  148  158  129  133   92  103   83   65   41  -42  -41
 35   37  116  147  133  120   95   77   81   70   72   52   40
 40  -14   67  135  130  107   90   78   88   91  104   66   64
 45 -129   01   90   99  102  104   76   94   91   97   71   63
 50 -185 -100   43   99  115   92   85   87   80   92   68   67
 60 -100 -109  -53   62   96   64   61   49   77   82   65   66
 70  -47  -62  -87   09   35   33   10   42   58   88   52   30
 80 -105  -23  -85  -83  -07   22  -44   22   37   80   17  -38
 90 -135   05  -86  -69  -13  -21 -120  -12   28   13  -11  -65
100 -139  -49  -61  -46  -35  -49 -189  -82  -14  -31  -66  -41

2003
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -201 -223 -287 -334 -263   04  139  145  129  142  182  246
 12 -184 -260 -308 -358 -364 -140  103  138  119  121  168  242
 15 -203 -288 -335 -339 -332 -315  -75   53   87   92  158  242
 20 -262 -280 -290 -295 -301 -308 -329 -237  -95  -15   69  165
 25 -182 -172 -209 -264 -285 -294 -318 -341 -337 -326 -161   47
 30  -14  -02  -73 -194 -269 -288 -313 -318 -313 -312 -321 -165
 35   62   76   44  -69 -202 -249 -275 -288 -281 -286 -291 -292
 40   77   89   76   35  -95 -175 -215 -232 -241 -248 -239 -245
 45   73   82   63   55   06  -49 -120 -177 -180 -194 -204 -214
 50   58   63   47   59   47   14  -29  -85 -102 -133 -164 -180
 60   40   61   63   65   78   62   27   07   04  -19  -65 -103
 70   31   42   47   19   59   55   40   31   27   34   04  -09
 80   09   00   32  -29  -22   28   42   11   40   46  -03   04
 90  -05  -07   26  -41  -65  -41   05  -41   37   21  -74  -14
100  -04  -13  -05  -56 -107  -83  -71  -91   20  -30 -103  -61

2004
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  180  132  171  132   93   51   22   00  -80 -132 -144 -170
 12  222  161  174  131  108   82   72   27  -60 -139 -141 -222
 15  225  143  170  147  132  107   94   31  -60 -137 -202 -246
 20  209  153  163  155  145  110   69   18  -52  -98 -198 -247
 25  121  121  140  142  124  103   83   54   38   23  -84 -169
 30  -16   78  112  126  120   95   90   98   88   73   48   14
 35 -210   13   67  136  121  113   91  107   87   97   87  100
 40 -244 -111  -11  122  112  112  100  114   82  101  101  104
 45 -236 -233 -128   73   89  109  108  113   74  103   85   76
 50 -204 -192 -177   11   89  112  108   74   70   92   56   67
 60 -103 -108 -107  -79   29   72   79   61   41   67   56   62
 70  -62  -36  -58  -77  -26   43   39   34   34   65   37   62
